,x
32638_s_at,0.59800298
41454_at,0.596686583
31836_at,0.596303487
34267_r_at,0.595006425
1583_at,0.591869588
37311_at,0.591194048
40785_g_at,0.591082293
38139_at,0.590988248
36135_at,0.590784469
976_s_at,0.590665978
33139_s_at,0.589867487
41635_at,0.588470931
39162_at,0.587496584
40758_at,0.587415142
824_at,0.586051553
33518_f_at,0.585034163
36363_at,0.582146494
34358_at,0.578606435
32213_at,0.578324748
36561_at,0.577082584
39969_at,0.577054028
38751_i_at,0.576590781
31896_at,0.574066976
203_at,0.572998841
39931_at,0.572594065
37949_at,0.572141754
40768_s_at,0.571609744
38071_at,0.571317578
40467_at,0.566100358
32232_at,0.564504085
39386_at,0.563686212
32584_at,0.563186479
40242_at,0.563070039
40865_at,0.562217616
36913_at,0.560845003
40458_at,0.560175139
32546_at,0.55872389
35710_s_at,0.558277644
39315_at,0.557312482
883_s_at,0.555775158
33247_at,0.555626093
34976_at,0.555018479
40343_at,0.553560502
38451_at,0.553086814
37000_at,0.550218225
41403_at,0.549998857
34893_at,0.548809655
33148_at,0.548548721
37468_at,0.547922901
36104_at,0.547023468
37385_at,0.546676912
39029_at,0.545917187
38060_at,0.545190541
35195_at,0.545184984
35218_at,0.5449838
36244_at,0.543221801
38645_at,0.542312524
35353_at,0.541751561
39605_at,0.54169686
39422_at,0.540766969
31873_at,0.539974264
37685_at,0.537852805
41375_at,0.537273803
31845_at,0.53718086
38923_at,0.535808518
41646_at,0.534734796
34998_at,0.53470926
41442_at,0.534456086
36107_at,0.533590777
36847_r_at,0.533387028
32767_at,0.533173244
39883_at,0.533148185
38675_at,0.53286522
32645_at,0.532586744
33396_at,0.532503278
782_at,0.532298821
33720_at,0.532267701
36131_at,0.531963753
38499_s_at,0.531540115
326_i_at,0.530755765
35879_at,0.530712694
35247_at,0.530611893
36457_at,0.53036969
38188_s_at,0.530351566
35642_at,0.52899572
34932_at,0.528798037
40336_at,0.52816474
1006_at,0.527938456
38693_at,0.527539762
39767_at,0.527314577
35439_at,0.526474775
39882_at,0.525725391
35991_at,0.523466027
36876_at,0.523140907
38450_at,0.52300245
38709_at,0.522573628
35291_at,0.521842263
39111_s_at,0.521285517
1473_s_at,0.521068405
37689_s_at,0.520425843
34822_at,0.518579699
36649_at,0.516581464
36551_at,0.51464227
379_at,0.514633382
781_at,0.514381791
37736_at,0.51348698
38776_at,0.513044348
38858_at,0.512280141
34369_at,0.511847867
33124_at,0.511819141
36943_r_at,0.511254733
33423_g_at,0.510440075
38337_at,0.509968023
1356_at,0.509804206
37379_at,0.509572763
1789_at,0.509523449
762_f_at,0.50950834
32032_at,0.508692454
35652_g_at,0.507800254
40585_at,0.507378066
41733_at,0.506755813
33906_at,0.506444419
34577_at,0.506089427
36317_at,0.505699318
1104_s_at,0.505193431
41708_at,0.501711263
1904_at,0.501650904
38981_at,0.501133866
36968_s_at,0.50096815
37009_at,0.50077919
33746_at,0.500647342
35814_at,0.498941231
41370_at,0.498502588
38678_at,0.498332011
38974_at,0.497916301
38325_at,0.497241477
37282_at,0.497009458
40408_at,0.496158896
35729_at,0.49600957
39041_at,0.495954284
33023_at,0.495465481
33117_r_at,0.494099603
35233_r_at,0.493854382
41766_at,0.493816598
40654_at,0.493735165
33715_r_at,0.493656338
38326_at,0.493371253
33460_at,0.492922671
40134_at,0.491771651
35819_at,0.491396038
37077_at,0.491365564
38210_at,0.491025919
1468_at,0.490964933
41451_s_at,0.49058138
39827_at,0.490419902
34575_f_at,0.489066466
41569_at,0.487916446
39427_at,0.487400076
38175_at,0.486990505
36046_at,0.486656283
41632_at,0.48629875
32509_at,0.485694796
35836_at,0.484821306
36713_at,0.484674959
38346_at,0.484053142
38967_at,0.484001996
39354_at,0.483919878
36002_at,0.483801357
41259_at,0.483704626
33447_at,0.483217149
35760_at,0.482728922
37395_at,0.482665809
41600_at,0.481236485
36636_at,0.478654327
38536_at,0.478480137
41551_at,0.478359956
31853_at,0.478196506
33860_at,0.477788311
40533_at,0.477478457
37668_at,0.477408484
37250_at,0.477266072
32462_s_at,0.476942776
35294_at,0.476130619
1449_at,0.475382241
41228_r_at,0.474534257
548_s_at,0.474360777
41838_at,0.473663062
36880_at,0.473196503
35078_at,0.473025035
37920_at,0.472909651
39702_at,0.472616955
40285_at,0.472220379
39944_at,0.472206821
40697_at,0.472206647
35963_at,0.471822435
39017_at,0.471740884
31852_at,0.471737416
39001_at,0.470827355
41393_at,0.468231061
39439_at,0.467572848
35821_at,0.467409678
33305_at,0.466213331
33826_at,0.465566466
1696_at,0.465411135
39381_at,0.464891014
32117_at,0.464737787
38136_at,0.464685263
33658_at,0.46409882
33332_at,0.464033784
38680_at,0.463299492
38926_at,0.461915735
41631_f_at,0.461806586
38492_at,0.460634837
32955_at,0.460631226
35293_at,0.460554342
32686_at,0.460445975
35662_at,0.45941051
36620_at,0.459363433
36419_at,0.459142232
36871_at,0.459042608
33234_at,0.459035553
34036_at,0.458439861
39259_at,0.458248014
38782_at,0.457765975
35343_at,0.457082278
39625_at,0.457013288
35615_at,0.456938176
860_at,0.456804549
33494_at,0.456729056
1911_s_at,0.456321594
38744_at,0.456055818
36161_at,0.456016991
36092_at,0.455638737
40115_at,0.455020754
35297_at,0.454765366
37508_f_at,0.454605627
40982_at,0.45386228
35800_at,0.453703163
34829_at,0.453393611
35707_at,0.453303292
2083_at,0.453182399
37217_at,0.452662469
32659_at,0.451861971
38752_r_at,0.451536304
34323_at,0.451485001
32831_at,0.450765812
37532_at,0.450016441
35349_at,0.449521588
39141_at,0.449320159
34446_at,0.448955197
410_s_at,0.448428577
38994_at,0.448227822
32330_at,0.448105456
37938_at,0.448026645
171_at,0.447626914
1490_at,0.447293026
40536_f_at,0.447183963
34929_at,0.447166443
1031_at,0.4468215
468_at,0.446661983
1995_at,0.446596374
35773_i_at,0.446543512
38811_at,0.446295325
34665_g_at,0.44616028
1882_g_at,0.445676318
2042_s_at,0.445500842
633_s_at,0.444928449
36047_at,0.444624522
41473_at,0.444339936
37098_at,0.444160546
37305_at,0.442670594
34791_at,0.441782042
32536_at,0.441578102
34360_s_at,0.441055
40414_at,0.440570803
32278_at,0.439880583
35750_at,0.439276251
35790_at,0.438920468
31521_f_at,0.438912631
38501_s_at,0.438863589
31993_f_at,0.438424568
1053_at,0.43824321
34315_at,0.437525011
35007_at,0.437373512
33253_at,0.437244878
33664_g_at,0.436996903
36195_at,0.436907751
40041_at,0.436894245
35167_at,0.436026527
40929_at,0.435234438
1182_at,0.435193403
37108_at,0.434535801
38108_at,0.434368019
32932_at,0.434109138
36917_at,0.433773764
34280_at,0.433754096
40337_at,0.433717715
41824_at,0.433359592
41415_at,0.433344398
796_i_at,0.433312531
34001_at,0.4330665
40160_at,0.43235973
32360_s_at,0.432037493
38803_at,0.431998573
35436_at,0.431294675
35364_at,0.430821625
34291_at,0.430344237
35159_at,0.429812572
1460_g_at,0.428758468
803_at,0.427866895
39643_at,0.42749505
40509_at,0.427275546
40428_i_at,0.42705982
32230_at,0.426832994
32285_g_at,0.426552907
34224_at,0.426453873
38610_s_at,0.425311035
36171_at,0.424966841
35301_at,0.424891855
40943_at,0.424808208
36169_at,0.424393145
34175_r_at,0.424146435
34233_i_at,0.423813847
36963_at,0.423033973
31983_at,0.422700835
869_at,0.422408741
32901_s_at,0.421580171
36906_at,0.420987753
33214_at,0.420921163
41128_at,0.420712709
37244_at,0.419730213
37412_at,0.419236579
34285_at,0.419128303
394_at,0.418816896
39728_at,0.418535645
33797_at,0.418462258
34337_s_at,0.418071065
40203_at,0.417967339
39966_at,0.417874277
41557_at,0.417464807
38485_at,0.417352954
40537_at,0.417201281
1450_g_at,0.417133156
36603_at,0.416927903
33524_at,0.416896519
34366_g_at,0.416828601
40974_at,0.416635089
36822_at,0.415584477
40769_r_at,0.415059013
36472_at,0.414467563
40518_at,0.413904537
41746_at,0.41351049
604_at,0.413139708
36475_at,0.413139226
32200_at,0.413106007
31612_at,0.413038141
1205_at,0.412449874
31931_f_at,0.412364934
35733_at,0.412190475
34728_g_at,0.41201761
32805_at,0.411517659
38949_at,0.411297633
528_at,0.410847593
34400_at,0.410808222
36646_at,0.410669404
41861_at,0.410316813
35264_at,0.410183139
36064_at,0.4100623
41510_s_at,0.410032797
34156_i_at,0.409849704
41502_at,0.409756743
39955_at,0.409549956
38502_at,0.409456222
40629_at,0.40882775
31403_at,0.408631832
36902_at,0.408598452
33217_at,0.4081484
31730_at,0.407974189
37696_at,0.407641892
38553_r_at,0.407235201
37471_at,0.407200504
1821_at,0.407169576
35059_at,0.407119841
38479_at,0.40664929
32221_at,0.406123261
33262_at,0.405820853
40519_at,0.405683521
842_at,0.405578666
34261_at,0.405542656
38068_at,0.40547213
41732_at,0.405406519
1782_s_at,0.405212811
33490_at,0.405071209
33294_at,0.404677318
37663_at,0.403912299
336_at,0.403805561
37577_at,0.403636027
34671_at,0.403582503
1480_at,0.402453222
1544_at,0.40231672
31436_s_at,0.402113569
35449_at,0.401832152
38424_at,0.401815542
32426_f_at,0.401428427
39060_at,0.401262474
39027_at,0.401131173
36884_at,0.40112489
38801_at,0.40070581
41322_s_at,0.400056031
31992_f_at,0.399857987
41053_at,0.399824101
35030_i_at,0.399453207
1160_at,0.399097918
38473_at,0.398716127
36437_s_at,0.398482401
35841_at,0.398330459
36520_at,0.398136916
503_at,0.397960684
31600_s_at,0.397744917
35295_g_at,0.397194134
36203_at,0.397014623
34401_at,0.396325992
41040_at,0.395620694
39390_at,0.394991271
36492_at,0.394578318
38368_at,0.394402983
39825_at,0.394240187
40788_at,0.393843118
34157_f_at,0.393357252
37555_at,0.393130934
39600_at,0.393117879
37521_s_at,0.392665606
31865_at,0.391748342
38275_at,0.391650188
36885_at,0.391594075
38800_at,0.391357646
